,0
sleep_duration,2.5140004657099433
stress_level,-1.781808709194957
occupation_Salesperson,-1.359415525722649
occupation_Accountant,0.9719565771641314
heart_rate,-0.6750515243850986
age,0.6330743302503419
gender_Female,0.5966184222020566
gender_Male,-0.5956708151661605
occupation_Lawyer,0.5333035090809946
physical_activity_level,0.5091996841892684
blood_pressure_117/76,-0.5062301256482908
occupation_Nurse,-0.47678447395600587
blood_pressure_120/80,0.40638797180949654
blood_pressure_140/95,-0.39539641748023385
sleep_disorder_Insomnia,0.3771614644370153
sleep_disorder_Sleep Apnea,-0.37621385740111923
bmi_category_Normal,0.3382295543957486
occupation_Teacher,0.31731652658712045
blood_pressure_130/85,0.2893924792874879
blood_pressure_135/90,0.28347122319808693
daily_steps,-0.27747515856362376
bmi_category_Normal Weight,-0.27367780785707735
blood_pressure_125/82,0.2706094265916554
occupation_Scientist,-0.22848693357574787
blood_pressure_128/85,-0.2263815398792207
blood_pressure_128/84,0.21488840728236408
blood_pressure_125/80,-0.20743457066168106
occupation_Doctor,0.18379163288123934
occupation_Engineer,0.18294109672900413
blood_pressure_129/84,-0.17669338423447864
occupation_Other,-0.15695818657144778
bmi_category_Overweight,-0.1336629740609708
blood_pressure_126/83,-0.11013949228326542
blood_pressure_121/79,0.08822053261726504
blood_pressure_132/87,-0.08647473611042594
blood_pressure_119/77,0.08076575272208748
blood_pressure_142/92,0.07116243030833704
bmi_category_Obese,0.07005883455819546
blood_pressure_115/75,0.04927659093456932
blood_pressure_130/86,-0.042580984066478866
sleep_disorder_missing,0.04199348485475655
occupation_Software Engineer,0.03418302556533216
blood_pressure_140/90,-0.028034681334049277
blood_pressure_135/88,0.027782732207782143
blood_pressure_131/86,-0.0021053936965272227
blood_pressure_122/80,0.0015979342142351729
occupation_Sales Representative,-0.0008996411460761606
blood_pressure_139/91,-0.000851646623874446
blood_pressure_118/75,-0.00019364170648183247
blood_pressure_115/78,-9.126041246282226e-05
stage_W_pct,-1.3466305914221944e-17
total_time_hours,6.733152957110972e-18
sleep_efficiency_pct,-3.366576478555486e-18
stage_N2_pct,-1.683288239277743e-18
sleep_duration_hours,8.416441196388715e-19
stage_REM_pct,-8.416441196388715e-19
eeg_delta_rel_std,-1.3150689369357367e-20
eeg_theta_rel_median,1.3150689369357367e-20
eeg_beta_rel_mean,-6.5753446846786834e-21
eeg_alpha_rel_mean,3.2876723423393417e-21
eeg_alpha_rel_median,3.2876723423393417e-21
emg_rms_std,-2.0066359511348521e-25
eog_var_mean,1.5676843368241032e-27
eog_var_std,-7.838421684120516e-28
waso_min,0.0
sleep_latency_min,0.0
n_epochs,0.0
stage_N1_pct,0.0
emg_rms_mean,0.0
emg_rms_median,0.0
eog_var_median,0.0
eeg_theta_rel_std,0.0
eeg_theta_rel_mean,0.0
eeg_delta_rel_median,0.0
eeg_delta_rel_mean,0.0
stage_N3_pct,0.0
eeg_alpha_rel_std,0.0
eeg_beta_rel_std,0.0
eeg_beta_rel_median,0.0
